1469773;Qal‘ah-ye S?l?;Kalasalu,Qal`a Salo,Qal`ah-ye Salo,Qal`eh-ye Salo,Qal‘a S?lo,Qal‘ah-ye S?lo,Qal‘ah-ye S?l?,Qal‘eh-ye S?lo,???? ????;34.52806;69.31731;S;RUIN;1785
2210485;Sabkhat a? ??b?yah;;30.08724;9.40037;H;SBKH;316
2215233;Oued Mariksene;Oued Mariksene,Oued Mariksиne,Oued Marksene,Uadi Maricsa,Wadi Maricsa,Wadi Markasan,W?d? Maricsa,W?d? Markas?n;30.14057;9.31918;H;WAD;310
2219028;I-n-Ezzane;Ayn az Zan,Ayn az Zеn,I-n-Ezzane;23.48389;11.24167;P;PPL;995
2378309;Areпgat Lemha;;26.15782;-6.71505;T;DUNE;396
2378953;Erg Iguidi;;26.33431;-6.29146;T;ERG;371
2441701;Oued Laouni;Laouni,Oued Laouni;19.7279;5.82208;H;WAD;415
2443245;I-n-Amouel;I-n-Amaouel,I-n-Amouel;19.44863;5.57006;H;WLL;404
2453395;’Oguоlet Mohimed;;24.2857;-3.6637;H;WLL;318
2463878;Kereb Azouggouarh;;30.54864;-4.59753;T;RDGE;894
2463905;Fedj ez Zebel;Fedj ez Zebel;34.44391;7.93835;T;PASS;446
2464643;Garet et Tir;Garet et Tir,Qarat at Tayr,Q?rat a? ?ayr;33.84012;7.54993;T;HLL;58
2467210;Djebel es Sraguia;Djebel Serraguia,Djebel es Sraguia,Jabal Sarraqiyah,Jabal Sarr?q?yah;34.94875;8.28202;T;MT;1119
2468542;Fedj en Nakhla;Fedj en Nakhla,Fej en Nakla;34.50002;8.05001;T;PASS;577
2468922;Oued el Miit;Oued el Miit;34.45002;8.01671;H;WAD;467
2470112;Djebel Djenane Kherouf;Djebel Djenane Kherouf,Djebel Djenane Krerouf,Jabal Jinan Kharuf,Jabal Jin?n Khar?f;34.63326;8.23945;T;HLL;948
2470707;Rouissat el Hadj Otsmane;Rouissat el Hadj Ostmane,Rouissat el Hadj Otsmane,Rouissat el Haj Otsmane,Ru'aysat al Hajj `Uthman,Ru’aysat al ??jj ‘Uthm?n;33.46692;7.71861;T;HLLS;42
2471441;Argoub ed Demrhaпa;Argoub ed Demrhaia,Argoub ed Demrhaпa;34.56662;8.18331;T;MT;713
2474074;Djebel Aboud;Djebel Aboud;34.41205;7.89157;T;MT;429
2474139;Fort Tarat;Bordj Tarat,Borg Tarat,Burj Tarat,Fort Tarat;26.13333;9.35;S;FT;609
2474140;Garet Djerboua;Ed Djerboua,Garet Djerboua;32.90043;0.97728;T;HLL;898
2474141;Boumerdas;Bou-Merdes,Boumerdas,Bumerdes,Cite de Boumerdes,Citй de Boumerdes,Le Rocher Noir,Roche Noire,Rocher Noir,????????;36.76639;3.47717;P;PPLA;5
2474142;Feraat es Sahli;;32.87958;1.04349;H;RVN;859
2474143;Bir ez Zrof;;35.82202;6.53421;H;WLL;801
2474144;Feпdjet ez Zrine;;30.60308;2.04418;T;TRGD;459
2474145;Hassi Zriguet;;30.05338;-3.58084;H;WLL;635
2474146;Oued ez Zrigat;;33.1448;0.95066;H;WAD;1039
2474147;Koudiat Zrigat;;31.08333;-2.73333;T;HLL;598
2474148;Hassi Zrigat;;33.14472;0.92333;H;WLL;1024
2474149;Djebel ez Zrigat;;33.13662;-0.24685;T;HLL;1293
2474150;Oued Zriga;;34.65878;3.43125;H;WAD;1199
2474151;Koudia Zriga;;33.98904;1.981;T;MT;1480
2474152;Zriga;;34.65441;3.46802;T;HLL;1254
2474153;Hassi Zridib;;32.85784;0.51162;H;WLL;886
2474154;Zrоbet Sidi el Hadj Belkassem;;29.2407;0.19592;S;RUIN;223
2474155;Zrоbet Oued Bвroыn;Keni Bechir,Kйni Bechir,Zribet Oued Baroun,Zrоbet Oued Bвroыn;36.86286;6.65405;S;FRM;93
